CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
165;MT;70405;A;9;0;;1.6024;1.2153;0.14692;Azul;131;
167;MT;70405;A;9;0;;1.6024;1.2153;0.14692;Rosa;132;
178;MT;70406;E;2;0;;2.2181;2.68569;0.13379;Rosa;132;
176;MT;70406;E;2;0;;2.2181;2.68569;0.13379;Cinza;130;
174;MT;70406;E;2;0;;2.2181;2.68569;0.13379;Azul;131;
174;MT;70406;E;2;0;;2.2181;2.68569;0.13379;Amarelo;129;
141;MT;70407;B;12;0;;1.78608;0.80144;0.18101;Cinza;130;
146;MT;70407;B;12;0;;1.78608;0.80144;0.18101;Amarelo;129;
141;MT;70407;B;12;0;;1.78608;0.80144;0.18101;Azul;131;
145;MT;70407;B;12;0;;1.78608;0.80144;0.18101;Rosa;132;
154;MT;70423;E;15;0;;1.42032;0.78256;0.16611;Cinza;130;
151;MT;70423;E;15;0;;1.42032;0.78256;0.16611;Amarelo;129;
149;MT;70423;E;15;0;;1.42032;0.78256;0.16611;Rosa;132;
152;MT;70423;E;15;0;;1.42032;0.78256;0.16611;Azul;131;
161;MT;70432;D;4;0;;2.20311;2.1416;0.179;Rosa;132;
157;MT;70432;D;4;0;;2.20311;2.1416;0.179;Azul;131;
157;MT;70432;D;4;0;;2.20311;2.1416;0.179;Amarelo;129;
155;MT;70432;D;4;0;;2.20311;2.1416;0.179;Cinza;130;
66;CN;70433;C;21;0;;2.89783;0.65233;0.1128;Rosa;124;
63;CN;70433;C;21;0;;2.89783;0.65233;0.1128;Branco;123;
64;CN;70433;C;21;0;;2.89783;0.65233;0.1128;Amarelo;122;
66;CN;70433;C;21;0;;2.89783;0.65233;0.1128;Azul;121;
170;MT;70445;C;28;0;;2.83067;1.45097;0.18616;Azul;131;
166;MT;70445;C;28;0;;2.83067;1.45097;0.18616;Amarelo;129;
170;MT;70445;C;28;0;;2.83067;1.45097;0.18616;Rosa;132;
171;MT;70445;C;28;0;;2.83067;1.45097;0.18616;Cinza;130;
29;CH;70452;A;21;0;;2.06152;0.49627;0.15444;Branco;134;
161;MT;70461;D;2;0;;1.23541;0.4856;0.05802;Amarelo;129;
159;MT;70461;D;2;0;;1.23541;0.4856;0.05802;Cinza;130;
155;MT;70461;D;2;0;;1.23541;0.4856;0.05802;Rosa;132;
162;MT;70461;D;2;0;;1.23541;0.4856;0.05802;Azul;131;
20;CH;70475;C;13;0;;0.94594;2.61392;0.19809;Branco;134;
159;MT;70496;A;29;0;;2.28103;2.8907;0.16055;Cinza;136;
146;MT;70501;E;11;0;;2.68015;2.08631;0.07696;Azul;131;
147;MT;70501;E;11;0;;2.68015;2.08631;0.07696;Rosa;132;
143;MT;70501;E;11;0;;2.68015;2.08631;0.07696;Amarelo;129;
143;MT;70501;E;11;0;;2.68015;2.08631;0.07696;Cinza;130;
19;CH;70514;A;15;0;;2.36969;-0.02116;0.09568;Branco;134;
17;CH;70524;C;6;0;;2.01158;1.72406;0.16014;Branco;134;
16;CH;70539;A;30;0;;3.01946;0.00146;0.20988;Azul;117;
44;CH;70539;A;30;0;;3.01946;0.00146;0.20988;Branco;119;
45;CH;70539;A;30;0;;3.01946;0.00146;0.20988;Rosa;120;
15;CH;70539;A;30;0;;3.01946;0.00146;0.20988;Amarelo;118;
164;MT;70540;C;19;0;;2.96462;3.137;0.14003;Rosa;132;
155;MT;70540;C;19;0;;2.96462;3.137;0.14003;Amarelo;129;
156;MT;70540;C;19;0;;2.96462;3.137;0.14003;Azul;131;
158;MT;70540;C;19;0;;2.96462;3.137;0.14003;Cinza;130;
175;MT;70563;C;6;0;;1.60162;0.26671;0.2498;Amarelo;129;
179;MT;70563;C;6;0;;1.60162;0.26671;0.2498;Cinza;130;
176;MT;70563;C;6;0;;1.60162;0.26671;0.2498;Rosa;132;
172;MT;70563;C;6;0;;1.60162;0.26671;0.2498;Azul;131;
68;CN;70579;E;14;0;;2.2762;0.2516;0.18355;Branco;133;
103;LC;70588;D;4;0;;3.3385;-0.11571;0.20802;Azul;127;
99;LC;70588;D;4;0;;3.3385;-0.11571;0.20802;Amarelo;125;
102;LC;70588;D;4;0;;3.3385;-0.11571;0.20802;Cinza;126;
99;LC;70588;D;4;0;;3.3385;-0.11571;0.20802;Rosa;128;
55;CN;70605;C;8;0;;1.16139;0.22893;0.08029;Branco;133;
77;CN;70614;D;24;0;;1.94916;1.62683;0.11518;Amarelo;122;
81;CN;70614;D;24;0;;1.94916;1.62683;0.11518;Azul;121;
80;CN;70614;D;24;0;;1.94916;1.62683;0.11518;Rosa;124;
76;CN;70614;D;24;0;;1.94916;1.62683;0.11518;Branco;123;
84;CN;70617;B;16;0;;1.54;0.69393;0.10243;Branco;123;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Amarelo;122;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Rosa;124;
87;CN;70617;B;16;0;;1.54;0.69393;0.10243;Azul;121;
83;CN;70637;D;14;0;;1.21656;-1.10221;0.01582;Amarelo;122;
83;CN;70637;D;14;0;;1.21656;-1.10221;0.01582;Rosa;124;
86;CN;70637;D;14;0;;1.21656;-1.10221;0.01582;Branco;123;
82;CN;70637;D;14;0;;1.21656;-1.10221;0.01582;Azul;121;
117;LC;70640;C;19;0;;1.06496;0.64328;0.11311;Cinza;135;
61;CN;70642;E;6;0;;1.26021;0.28507;0.12507;Branco;133;
48;CN;70680;E;11;0;;2.06305;0.57197;0.15773;Branco;133;
144;MT;70698;E;7;0;;1.40069;2.32577;0.10823;Azul;131;
144;MT;70698;E;7;0;;1.40069;2.32577;0.10823;Amarelo;129;
144;MT;70698;E;7;0;;1.40069;2.32577;0.10823;Cinza;130;
148;MT;70698;E;7;0;;1.40069;2.32577;0.10823;Rosa;132;
105;LC;70705;D;17;0;;1.10711;0.48494;0.08252;Cinza;135;
149;MT;70709;E;1;0;;2.79701;1.52744;0.13112;Cinza;136;
110;LC;70720;C;13;0;;1.28199;1.59592;0.21513;Cinza;135;
80;CN;70728;D;12;0;;0.93948;2.72363;0.16041;Azul;121;
78;CN;70728;D;12;0;;0.93948;2.72363;0.16041;Amarelo;122;
81;CN;70728;D;12;0;;0.93948;2.72363;0.16041;Rosa;124;
75;CN;70728;D;12;0;;0.93948;2.72363;0.16041;Branco;123;
65;CN;70730;D;11;0;;1.12977;1.8135;0.26206;Branco;133;
180;MT;70734;C;20;0;;1.41344;0.04783;0.13377;Cinza;130;
173;MT;70734;C;20;0;;1.41344;0.04783;0.13377;Azul;131;
177;MT;70734;C;20;0;;1.41344;0.04783;0.13377;Rosa;132;
176;MT;70734;C;20;0;;1.41344;0.04783;0.13377;Amarelo;129;
86;CN;70741;E;5;0;;2.02683;1.51856;0.16514;Branco;133;
178;MT;70745;C;19;0;;2.74436;1.698;0.2011;Azul;131;
172;MT;70745;C;19;0;;2.74436;1.698;0.2011;Rosa;132;
177;MT;70745;C;19;0;;2.74436;1.698;0.2011;Amarelo;129;
174;MT;70745;C;19;0;;2.74436;1.698;0.2011;Cinza;130;
148;MT;70761;A;3;0;;2.32706;1.03615;0.17235;Cinza;136;
48;CN;70762;E;14;0;;3.58475;0.63064;0.1944;Azul;121;
47;CN;70762;E;14;0;;3.58475;0.63064;0.1944;Rosa;124;
49;CN;70762;E;14;0;;3.58475;0.63064;0.1944;Amarelo;122;
48;CN;70762;E;14;0;;3.58475;0.63064;0.1944;Branco;123;
88;CN;70807;D;29;0;;1.38451;0.82654;0.21537;Azul;121;
90;CN;70807;D;29;0;;1.38451;0.82654;0.21537;Amarelo;122;
90;CN;70807;D;29;0;;1.38451;0.82654;0.21537;Rosa;124;
89;CN;70807;D;29;0;;1.38451;0.82654;0.21537;Branco;123;
19;CH;70810;E;24;0;;3.67867;0.21719;0.3165;Branco;119;
18;CH;70810;E;24;0;;3.67867;0.21719;0.3165;Azul;117;
17;CH;70810;E;24;0;;3.67867;0.21719;0.3165;Rosa;120;
19;CH;70810;E;24;0;;3.67867;0.21719;0.3165;Amarelo;118;
