CO_ITEM,NSE_LEVEL,TX_GABARITO,answer_distribution,correct_probability
9678,4,E,[0.15346535 0.16336634 0.13366337 0.23267327 0.31188119 0.0049505 ],0.3118811881188119
9678,5,E,[0.14965986 0.14965986 0.19727891 0.19727891 0.29931973 0.00680272],0.29931972789115646
9678,6,E,[0.18181818 0.07954545 0.18181818 0.28409091 0.27272727 0.        ],0.2727272727272727
9678,7,E,[0.08955224 0.11940299 0.14925373 0.2238806  0.41791045 0.        ],0.417910447761194
9678,8,E,[0.16666667 0.16666667 0.         0.25       0.41666667 0.        ],0.4166666666666667
9716,1,E,[0.19065497 0.13791388 0.32463362 0.1095531  0.23172607 0.00551836],0.23172607201013207
9716,2,E,[0.1949869  0.13017124 0.32383709 0.1027317  0.2439921  0.00428097],0.24399209667784771
9716,3,E,[0.20141926 0.12210521 0.31847233 0.09538903 0.25862292 0.00399125],0.2586229202784175
9716,4,E,[0.20995515 0.11481184 0.31129319 0.08492543 0.2751158  0.0038986 ],0.2751157971030906
9716,5,E,[0.21533359 0.10849027 0.30176484 0.07755348 0.29314371 0.00371411],0.29314370801536405
9716,6,E,[0.22113774 0.10231067 0.29123369 0.06953882 0.31238694 0.00339214],0.31238694344439466
9716,7,E,[0.22164734 0.09731512 0.27887083 0.05872253 0.34028933 0.00315486],0.3402893296775156
9716,8,E,[0.22093664 0.09232586 0.2674144  0.05137741 0.36487603 0.00306966],0.3648760330578512
10322,1,C,[0.17667813 0.24362222 0.31418491 0.16595802 0.09516917 0.00438755],0.31418491043965985
10322,2,C,[0.16806813 0.25298289 0.34643278 0.14660203 0.08235308 0.00356109],0.3464327834704162
10322,3,C,[0.15720819 0.25620035 0.39286038 0.12196613 0.06860817 0.00315678],0.3928603772608482
10322,4,C,[0.14104314 0.25142694 0.44603685 0.10173158 0.05677172 0.00298977],0.4460368512247879
10322,5,C,[0.12692544 0.24026069 0.50542592 0.07929914 0.04527995 0.00280885],0.5054259237324941
10322,6,C,[0.10957098 0.21930063 0.57254837 0.06111842 0.03497921 0.0024824 ],0.5725483696936146
10322,7,C,[0.09084095 0.18595722 0.65186366 0.04390423 0.02515478 0.00227915],0.6518636640012849
10322,8,C,[0.0733963  0.15281385 0.71957891 0.03321527 0.01892956 0.00206612],0.7195789059425423
10409,1,E,[0.1701425  0.25501018 0.10300837 0.18380457 0.28332956 0.00470482],0.2833295634471839
10409,2,E,[0.15944721 0.26546574 0.09650793 0.16333495 0.31209567 0.0031485 ],0.31209566526350463
10409,3,E,[0.1443851  0.27194376 0.09375051 0.1460933  0.34079593 0.00303141],0.3407959313742935
10409,4,E,[0.13021821 0.27948281 0.0884102  0.13111871 0.36777124 0.00299883],0.3677712395720653
