CO_ITEM,TP_SEXO,TX_GABARITO,answer_distribution,correct_probability
40571,F,E,[0.29192547 0.30227743 0.21325052 0.04968944 0.14285714 0.        ],0.14285714285714285
40571,M,E,[0.22641509 0.29110512 0.23719677 0.08894879 0.15363881 0.00269542],0.15363881401617252
41054,F,A,[0.44674137 0.09765112 0.15900675 0.16318141 0.13126938 0.00214997],0.4467413661690954
41054,M,A,[0.47451395 0.10245032 0.15440924 0.15636683 0.10986155 0.0023981 ],0.47451395211825825
41810,F,A,[0.51272552 0.1184576  0.13715309 0.1033588  0.12425479 0.0040502 ],0.5127255223344037
41810,M,A,[0.52010197 0.1248585  0.11482058 0.13153393 0.10489518 0.00378984],0.5201019734242145
42674,F,B,[0.1537558  0.51573545 0.12964755 0.13383264 0.06422951 0.00279906],0.5157354461262177
42674,M,B,[0.13198677 0.52061754 0.14217637 0.13549622 0.06675325 0.00296985],0.5206175352150394
42940,F,D,[0.08389686 0.10535223 0.08803584 0.65669407 0.06173672 0.00428429],0.6566940684720303
42940,M,D,[0.08981308 0.11041053 0.09482486 0.64384741 0.05696936 0.00413475],0.6438474104225804
43073,F,A,[0.47031974 0.14948978 0.08304679 0.08147977 0.2136027  0.00206123],0.4703197380006891
43073,M,A,[0.4767487  0.15912779 0.0628796  0.07361684 0.22510176 0.00252531],0.4767487011943656
43182,F,C,[0.19808912 0.26133109 0.29985139 0.1525664  0.08492268 0.00323932],0.29985138987014887
43182,M,C,[0.15414681 0.25233116 0.40782631 0.11701301 0.06532725 0.00335547],0.40782630817845855
44230,F,A,[0.44378483 0.09028326 0.07354635 0.1082409  0.27724838 0.00689628],0.44378482506116684
44230,M,A,[0.474368   0.09113733 0.07676745 0.10732687 0.24363184 0.00676852],0.47436800385624767
44570,F,A,[0.51823606 0.04611612 0.14708226 0.04269148 0.24324381 0.00263026],0.5182360638849541
44570,M,A,[0.53938461 0.05526083 0.09530288 0.03759708 0.2696923  0.00276231],0.53938460714477
44969,F,B,[0.16315008 0.25714512 0.25779246 0.23933714 0.07907921 0.00349599],0.25714511935794854
44969,M,B,[0.16242435 0.27963687 0.25990172 0.22002437 0.07339859 0.00461411],0.2796368700123186
45201,F,C,[0.14396998 0.24377369 0.29785803 0.20731287 0.10300474 0.00408069],0.29785803034152486
45201,M,C,[0.13523512 0.26194098 0.32800734 0.18337529 0.0874846  0.00395667],0.32800733758234696
47309,F,B,[0.14941148 0.31970494 0.19452179 0.1502746  0.18171939 0.00436782],0.3197049375454618
47309,M,B,[0.16750977 0.31838948 0.18845134 0.14920063 0.1706644  0.00578437],0.3183894810133362
49544,F,C,[0.15044948 0.13788897 0.26230819 0.21198174 0.23349105 0.00388057],0.26230819026273017
49544,M,C,[0.16364282 0.13275133 0.28013229 0.22118928 0.19857935 0.00370494],0.28013229071822615
