CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
10992,TO,A,[0.5 0.5 0.  0.  0.  0. ],0.5
14797,AC,D,[0.25881307 0.31290427 0.23277814 0.12807245 0.06347025 0.00396184],0.12807244501940493
14797,AL,D,[0.23743607 0.30209028 0.24480209 0.1475706  0.06179119 0.00630976],0.14757060262397154
14797,AM,D,[0.24621347 0.31512686 0.23150719 0.13614998 0.0662745  0.004728  ],0.13614997663487177
14797,AP,D,[0.2412178  0.30528605 0.23335564 0.14377718 0.07176313 0.0046002 ],0.14377718300434927
14797,BA,D,[0.23995792 0.30858961 0.24433895 0.14104519 0.06128115 0.00478717],0.141045188524099
14797,CE,D,[0.24106178 0.29962591 0.24064179 0.15119345 0.06329281 0.00418426],0.1511934482839077
14797,DF,D,[0.2121959  0.28621402 0.24460699 0.16809774 0.06487518 0.02401018],0.16809773678910267
14797,ES,D,[0.22773026 0.29644499 0.2529819  0.15569907 0.06257637 0.00456741],0.15569907488217838
14797,GO,D,[0.23293078 0.30007777 0.24860233 0.15071388 0.06154162 0.00613362],0.1507138769461034
14797,MA,D,[0.24566074 0.30786364 0.23365476 0.14328399 0.06493277 0.0046041 ],0.14328398750509302
14797,MG,D,[0.23168782 0.29405853 0.25213916 0.16016102 0.05790433 0.00404913],0.1601610249177245
14797,MS,D,[0.22955989 0.30852245 0.24967802 0.14686681 0.06133144 0.00404139],0.1468668117422392
14797,MT,D,[0.23441484 0.30642964 0.24192365 0.15185276 0.06062934 0.00474976],0.15185275730800127
14797,PA,D,[0.24460257 0.30901276 0.23799824 0.1385833  0.0647422  0.00506093],0.1385832989357693
14797,PB,D,[0.23592548 0.30687062 0.24248846 0.15141002 0.05915228 0.00415314],0.15141001538198598
14797,PE,D,[0.23894556 0.30089618 0.25023358 0.14683955 0.05765087 0.00543426],0.14683954619124798
14797,PI,D,[0.24361101 0.2975788  0.2364923  0.15707356 0.06184246 0.00340186],0.15707355998404066
14797,PR,D,[0.2263058  0.30511901 0.25304821 0.152206   0.05946342 0.00385756],0.152206000917875
14797,RJ,D,[0.22933097 0.29614907 0.24996628 0.15835315 0.06091216 0.00528838],0.15835314995563443
14797,RN,D,[0.2400895  0.30126403 0.24276672 0.14797392 0.06323982 0.00466602],0.14797391620293346
14797,RO,D,[0.24366885 0.30807302 0.24958221 0.13684278 0.0579766  0.00385654],0.13684278184856666
14797,RR,D,[0.2397381  0.30269454 0.23621254 0.14807353 0.07076303 0.00251826],0.14807353311508437
14797,RS,D,[0.22785639 0.30411426 0.25048837 0.15346865 0.05949828 0.00457404],0.15346864875166763
14797,SC,D,[0.22486674 0.30877677 0.25540073 0.14621715 0.06031984 0.00441878],0.14621715140746283
14797,SE,D,[0.2294333  0.30918883 0.24456144 0.150767   0.06096639 0.00508305],0.15076699646001634
14797,SP,D,[0.22894068 0.30144984 0.25240032 0.15555096 0.05713695 0.00452124],0.15555096470046365
14797,TO,D,[0.24419317 0.30338533 0.23744977 0.14556229 0.06552687 0.00388257],0.1455622913970438
16785,AC,D,[0.         0.28571429 0.42857143 0.14285714 0.14285714 0.        ],0.14285714285714285
16785,AL,D,[0.         0.33333333 0.33333333 0.33333333 0.         0.        ],0.3333333333333333
16785,AM,D,[0.10526316 0.10526316 0.26315789 0.47368421 0.05263158 0.        ],0.47368421052631576
16785,AP,D,[0.         0.         0.         0.66666667 0.33333333 0.        ],0.6666666666666666
16785,BA,D,[0.12765957 0.14893617 0.17021277 0.34042553 0.21276596 0.        ],0.3404255319148936
16785,CE,D,[0.10434783 0.27826087 0.19130435 0.28695652 0.13913043 0.        ],0.28695652173913044
16785,DF,D,[0.10526316 0.10526316 0.21052632 0.36842105 0.15789474 0.05263158],0.3684210526315789
16785,ES,D,[0.21428571 0.21428571 0.25       0.25       0.07142857 0.        ],0.25
16785,GO,D,[0.05555556 0.16666667 0.25       0.38888889 0.13888889 0.        ],0.3888888888888889
16785,MA,D,[0.25       0.08333333 0.16666667 0.27777778 0.22222222 0.        ],0.2777777777777778
16785,MG,D,[0.11290323 0.09677419 0.30645161 0.30645161 0.17741935 0.        ],0.3064516129032258
16785,MS,D,[0.2 0.  0.4 0.2 0.2 0. ],0.2
