CO_ITEM,TX_GABARITO,answer_distribution,correct_probability
85445,E,[0.14071891 0.20957928 0.22464818 0.23339008 0.18878035 0.0028832 ],0.1887803535152171
85588,B,[0.1145006  0.61589658 0.13193482 0.0954162  0.03948568 0.00276612],0.6158965823487097
85860,C,[0.172557   0.15696177 0.17614584 0.17603457 0.31586431 0.00243651],0.17614584454021714
86438,A,[0.23762376 0.23432343 0.17491749 0.20462046 0.14191419 0.00660066],0.2376237623762376
86466,C,[0.16744034 0.23478448 0.24179023 0.24861509 0.10369347 0.00367639],0.24179023244922887
86499,B,[0.18228774 0.21474921 0.21386584 0.22031995 0.16458561 0.00419164],0.21474920839846512
86703,A,[0.42942195 0.18613975 0.09365949 0.12857275 0.15853864 0.00366742],0.42942194629555797
86840,C,[0.24258447 0.20415092 0.28557091 0.16237641 0.10068053 0.00463675],0.2855709129417622
87207,E,[0.27091916 0.12458732 0.07347233 0.26880331 0.2554658  0.00675208],0.2554657950084276
87998,E,[0.37375037 0.11004843 0.35569173 0.04857143 0.10981111 0.00212693],0.10981111258778287
88045,D,[0.16177994 0.04795492 0.14233639 0.57434357 0.06808037 0.00550482],0.5743435666685652
88655,D,[0.14109915 0.11246174 0.3232656  0.27776881 0.1434671  0.0019376 ],0.27776881227072037
89149,A,[0.4650957  0.09311417 0.20076249 0.08648339 0.14994863 0.00459561],0.4650956988770966
89554,D,[0.18376916 0.27412354 0.30406359 0.18046089 0.05403036 0.00355245],0.1804608903486844
89637,E,[0.22889467 0.33042113 0.21108337 0.1346519  0.09020935 0.00473959],0.09020934986361881
90130,B,[0.18848238 0.31828394 0.23087394 0.17909391 0.07980251 0.00346332],0.31828393866327453
90238,D,[0.21451821 0.04643078 0.17073701 0.44296092 0.12145678 0.0038963 ],0.4429609167178228
95509,E,[0.17478572 0.24792106 0.23481718 0.18270965 0.15628936 0.00347703],0.15628935593906831
95676,A,[0.53725696 0.10001181 0.06562224 0.07415371 0.21990543 0.00304985],0.5372569556513282
95739,D,[0.21988908 0.09825563 0.1723239  0.34857997 0.15446725 0.00648417],0.34857996915865574
95823,C,[0.11100036 0.13116906 0.41545474 0.2059609  0.12867612 0.00773881],0.41545474106560853
96189,D,[0.1278687  0.13210938 0.16199195 0.30283268 0.27216484 0.00303245],0.30283267832393534
96244,E,[0.17760037 0.31219794 0.17342244 0.1591214  0.17511534 0.00254251],0.17511533861138007
96291,C,[0.20043077 0.21922194 0.16140128 0.28746844 0.12556456 0.00591302],0.16140127711011118
96315,A,[0.49260346 0.10585943 0.13863416 0.14470645 0.11540137 0.00279513],0.4926034566776151
96502,C,[0.05006972 0.05474391 0.66664874 0.133922   0.09117341 0.00344223],0.6666487356525518
96516,E,[0.18347805 0.20196281 0.14681229 0.33281386 0.12952257 0.00541042],0.12952257092770847
