CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
9716,K,E,[0.2239742  0.09317327 0.27091919 0.05621752 0.35195306 0.00376277],0.35195305500806306
9716,L,E,[0.22907676 0.09232402 0.2697913  0.05373187 0.3521047  0.00297135],0.3521047046338875
9716,M,E,[0.22233899 0.0962318  0.27075514 0.05382075 0.35343792 0.0034154 ],0.3534379222338988
9716,N,E,[0.22515934 0.09147425 0.26491485 0.05051719 0.36406854 0.00386584],0.36406854038240516
9716,O,E,[0.22622666 0.0919091  0.26646403 0.04776379 0.36435567 0.00328074],0.3643556713465528
9716,P,E,[0.22056065 0.08881385 0.26349359 0.04764968 0.37621268 0.00326955],0.3762126815672402
9716,Q,E,[0.21891127 0.08802231 0.26881139 0.04623772 0.37456301 0.0034543 ],0.37456300982187446
10322,A,C,[0.17199227 0.250596   0.3366461  0.1511248  0.08573615 0.00390468],0.3366460967928656
10322,B,C,[0.15954854 0.25655371 0.38082547 0.12798134 0.07188614 0.00320481],0.380825468148295
10322,C,C,[0.13980933 0.25323131 0.44892584 0.09901569 0.05603047 0.00298737],0.44892584323595447
10322,D,C,[0.13074138 0.2435024  0.48892599 0.08485374 0.04916625 0.00281024],0.48892599258407965
10322,E,C,[0.12137066 0.23410264 0.5276835  0.07335519 0.04097132 0.00251668],0.5276835000448264
10322,F,C,[0.11242026 0.21962612 0.56542963 0.06288345 0.03665613 0.00298441],0.5654296333277861
10322,G,C,[0.10677679 0.21353571 0.58561607 0.05869643 0.03275    0.002625  ],0.5856160714285714
10322,H,C,[0.09754891 0.20061628 0.61953406 0.05151501 0.0285074  0.00227835],0.6195340585461506
10322,I,C,[0.09633098 0.18866382 0.64202249 0.04534912 0.02502706 0.00260653],0.6420224868017053
10322,J,C,[0.09023268 0.1838073  0.65751308 0.04272022 0.0238981  0.00182861],0.657513084053219
10322,K,C,[0.08546855 0.17371439 0.67559577 0.04044974 0.02230783 0.00246372],0.6755957713671386
10322,L,C,[0.08160594 0.17672444 0.6779625  0.03993633 0.0215069  0.00226388],0.6779625044216484
10322,M,C,[0.07889206 0.17103288 0.69392734 0.03460441 0.01989191 0.0016514 ],0.6939273382375019
10322,N,C,[0.07585414 0.16220876 0.70624804 0.0339045  0.01953819 0.00224637],0.7062480409570577
10322,O,C,[0.07227288 0.15076953 0.72412795 0.03232499 0.01823708 0.00226757],0.7241279490519612
10322,P,C,[0.0721445  0.14112665 0.73532722 0.03156992 0.01763413 0.00219757],0.73532722302621
10322,Q,C,[0.06592309 0.1323456  0.75545197 0.02842517 0.01569003 0.00216414],0.7554519726985184
10409,A,E,[0.15999608 0.26647697 0.0948928  0.16396997 0.31141638 0.0032478 ],0.31141637639209147
10409,B,E,[0.14855343 0.27223656 0.09376572 0.14854792 0.33381008 0.0030863 ],0.3338100781029108
10409,C,E,[0.13061138 0.27902063 0.08908724 0.12960699 0.36871745 0.00295631],0.36871744822510905
10409,D,E,[0.1191384  0.28128755 0.08630778 0.12084738 0.3893783  0.00304059],0.38937830464070233
10409,E,E,[0.1108222  0.28250567 0.08233531 0.1119814  0.40967837 0.00267705],0.40967836968912913
10409,F,E,[0.1005692  0.28341119 0.07658082 0.10208927 0.43438703 0.00296249],0.4343870316331399
10409,G,E,[0.09357978 0.28538262 0.07564961 0.09568711 0.44687919 0.00282168],0.44687918564157514
10409,H,E,[0.08550672 0.28337582 0.07194816 0.08926987 0.4671541  0.00274533],0.46715410258565143
10409,I,E,[0.07539542 0.28656004 0.07106565 0.08250862 0.48210657 0.0023637 ],0.4821065653441725
10409,J,E,[0.07441274 0.28333596 0.06974618 0.07576856 0.49443481 0.00230175],0.4944348100268012
10409,K,E,[0.06804946 0.28003763 0.06809426 0.07320133 0.5079742  0.00264313],0.507974195860586
10409,L,E,[0.06650159 0.28043863 0.06597099 0.06954369 0.51453838 0.00300672],0.5145383799080298
10409,M,E,[0.06245777 0.2780572  0.06722468 0.06662413 0.52315892 0.00247729],0.5231589220028526
10409,N,E,[0.06170324 0.2754441  0.06024033 0.0630094  0.53735632 0.0022466 ],0.5373563218390804
10409,O,E,[0.05399537 0.27123142 0.06359776 0.06224667 0.54588882 0.00303995],0.545888824551245
10409,P,E,[0.05177681 0.27689339 0.05997749 0.05826231 0.55067803 0.00241196],0.5506780296939486
10409,Q,E,[0.0534421  0.26675268 0.05885291 0.0555648  0.5628902  0.00249729],0.5628902022808624
10500,A,B,[0.20882183 0.18688499 0.24121693 0.22118337 0.1380765  0.00381638],0.18688498857047553
10500,B,B,[0.18833677 0.18352404 0.25327731 0.23573712 0.13550328 0.00362147],0.18352404342096085
10500,C,B,[0.16693561 0.17832613 0.26439762 0.25329763 0.13322197 0.00382105],0.1783261280777599
10500,D,B,[0.1579591  0.17852853 0.26791855 0.2571156  0.13464449 0.00383373],0.17852852527267601
10500,E,B,[0.15188463 0.18112425 0.26853571 0.26237529 0.13217382 0.0039063 ],0.1811242459560189
10500,F,B,[0.14587008 0.18288123 0.27118212 0.26472513 0.13172464 0.0036168 ],0.18288123370499806
10500,G,B,[0.14407143 0.18775    0.27285714 0.261125   0.13005357 0.00414286],0.18775
10500,H,B,[0.14206079 0.19318362 0.27205752 0.25774313 0.13106121 0.00389374],0.19318362201783462
10500,I,B,[0.13781449 0.19908993 0.27079146 0.25981313 0.12741048 0.00508052],0.19908992511762497
10500,J,B,[0.13642096 0.20392206 0.27397692 0.25474494 0.12620594 0.00472918],0.20392206318178951
10500,K,B,[0.13837126 0.2066386  0.2708744  0.25241892 0.12667981 0.00501702],0.20663859523382908
10500,L,B,[0.13593916 0.21425539 0.27230279 0.24913336 0.12316944 0.00519986],0.21425539441103644
10500,M,B,[0.13901817 0.21573337 0.27251914 0.24230596 0.12449332 0.00593004],0.21573337336736226
10500,N,B,[0.13410302 0.22818932 0.27045241 0.24015254 0.12234876 0.00475394],0.22818932190993627
10500,O,B,[0.13378685 0.22945916 0.26931056 0.23949438 0.12293144 0.00501761],0.22945915955034496
10500,P,B,[0.13453396 0.24066034 0.26531597 0.23283486 0.12118776 0.00546712],0.24066034196280217
10500,Q,B,[0.13475945 0.25936408 0.26914433 0.2143749  0.11561512 0.00674213],0.2593640752455469
10776,A,B,[0.11623777 0.49207782 0.09276065 0.16341767 0.13065958 0.00484651],0.49207781887392205
10776,B,B,[0.10571469 0.54457917 0.08099213 0.15072154 0.1134     0.00459246],0.5445791713013439
10776,C,B,[0.09219148 0.6026741  0.06618625 0.1394367  0.09524516 0.00426631],0.6026741024483132
10776,D,B,[0.08790685 0.62358783 0.06135698 0.13505215 0.08807598 0.00402021],0.6235878309517098
10776,E,B,[0.08335148 0.63990317 0.05828072 0.13084184 0.08326182 0.00436097],0.6399031749894338
10776,F,B,[0.08163311 0.64971432 0.05550563 0.12997171 0.07949187 0.00368336],0.6497143174127697
10776,G,B,[0.07996429 0.66123214 0.05308929 0.12624107 0.07571429 0.00375893],0.6612321428571428
10776,H,B,[0.07841636 0.66858397 0.05032915 0.12370325 0.07473738 0.00422989],0.6685839675054858
10776,I,B,[0.0748382  0.67478076 0.04830907 0.12422964 0.07410925 0.00373307],0.6747807647279715
10776,J,B,[0.07894571 0.68027618 0.04562078 0.1224226  0.06891986 0.00381487],0.6802761838703575
10776,K,B,[0.07346354 0.68200143 0.04524279 0.12372335 0.07099982 0.00456907],0.6820014334348683
10776,L,B,[0.07675982 0.67845773 0.04672798 0.12490272 0.07003891 0.00311284],0.6784577290413867
10776,M,B,[0.07337487 0.68897313 0.04349947 0.12227894 0.06827053 0.00360306],0.6889731271580843
10776,N,B,[0.07104796 0.69501619 0.04247205 0.12031136 0.06728659 0.00386584],0.695016194754989
10776,O,B,[0.07019829 0.69474598 0.04187774 0.12244898 0.06735176 0.00337724],0.6947459834997829
10776,P,B,[0.06973254 0.6910543  0.04089618 0.1252613  0.06860696 0.00444873],0.6910542959747011
10776,Q,B,[0.07108374 0.69223406 0.04107708 0.12443816 0.06725487 0.0039121 ],0.6922340602630265
10992,A,A,[0.         0.35714286 0.21428571 0.35714286 0.07142857 0.        ],0.0
10992,B,A,[0.07857143 0.32857143 0.21428571 0.23571429 0.14285714 0.        ],0.07857142857142857
10992,C,A,[0.08928571 0.375      0.26785714 0.17857143 0.08928571 0.        ],0.08928571428571429
10992,D,A,[0.18421053 0.36842105 0.21052632 0.15789474 0.07894737 0.        ],0.18421052631578946
10992,E,A,[0.1875 0.     0.6875 0.125  0.     0.    ],0.1875
10992,F,A,[0.25 0.5  0.25 0.   0.   0.  ],0.25
10992,G,A,[0.3 0.4 0.1 0.2 0.  0. ],0.3
10992,H,A,[0.   0.75 0.25 0.   0.   0.  ],0.0
10992,I,A,[0.         0.33333333 0.33333333 0.33333333 0.         0.        ],0.0
10992,J,A,[0. 1. 0. 0. 0. 0.],0.0
10992,K,A,[0.  0.5 0.  0.5 0.  0. ],0.0
10992,M,A,[0.5 0.  0.  0.5 0.  0. ],0.5
10992,N,A,[0. 1. 0. 0. 0. 0.],0.0
10992,O,A,[0.         0.66666667 0.         0.33333333 0.         0.        ],0.0
10992,Q,A,[0.  0.5 0.  0.  0.5 0. ],0.0
14797,A,D,[0.2611818  0.31269805 0.23063113 0.127579   0.06343631 0.0044737 ],0.1275790010693718
14797,B,D,[0.24916209 0.3182766  0.23876389 0.12859807 0.06064544 0.00455391],0.12859806977162513
14797,C,D,[0.23901449 0.31674598 0.2492429  0.13145355 0.05879362 0.00474947],0.1314535458383728
14797,D,D,[0.23637704 0.31302557 0.25084025 0.13629247 0.05858577 0.00487889],0.13629247349133725
14797,E,D,[0.2326746  0.30415989 0.25318588 0.14574982 0.05897232 0.0052575 ],0.1457498174925396
14797,F,D,[0.23183003 0.29767571 0.25158928 0.15329228 0.06015421 0.00545848],0.15329228379652743
14797,G,D,[0.22745536 0.29275893 0.25220536 0.16061607 0.06159821 0.00536607],0.16061607142857143
14797,H,D,[0.21846958 0.27914468 0.2560437  0.17893459 0.0620197  0.00538774],0.17893459078388346
14797,I,D,[0.20858828 0.26725718 0.25572662 0.19882485 0.06361688 0.00598617],0.19882485476353515
14797,J,D,[0.20912416 0.25922189 0.25710953 0.20726401 0.06166845 0.00561196],0.2072640141244719
14797,K,D,[0.19812758 0.25649525 0.24941767 0.22527325 0.06428059 0.00640566],0.2252732485217703
14797,L,D,[0.19890343 0.25033605 0.25206933 0.22780333 0.06483905 0.00604881],0.22780332507958967
