CO_ITEM,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
10776,2,B,[0.09806283 0.58079304 0.07046251 0.1438619  0.10146978 0.00534994],0.5807930446305856
10776,3,B,[0.09809936 0.57635324 0.07258513 0.14494589 0.10365992 0.00435645],0.5763532429717123
10776,4,B,[0.08960211 0.58984079 0.06946901 0.14797967 0.09892455 0.00418387],0.5898407884761183
10776,5,B,[0.11869101 0.47897005 0.09612228 0.16321297 0.13633566 0.00666803],0.4789700451374641
10992,0,A,[0.  0.2 0.2 0.2 0.4 0. ],0.0
10992,1,A,[0.08333333 0.39814815 0.23148148 0.17592593 0.11111111 0.        ],0.08333333333333333
10992,2,A,[0.13953488 0.23255814 0.30232558 0.23255814 0.09302326 0.        ],0.13953488372093023
10992,3,A,[0.11724138 0.35862069 0.22758621 0.2137931  0.08275862 0.        ],0.11724137931034483
10992,4,A,[0.  0.5 0.  0.5 0.  0. ],0.0
14797,0,D,[0.24422938 0.29712671 0.23969103 0.15096778 0.06161337 0.00637172],0.1509677807165184
14797,1,D,[0.22239228 0.29214874 0.25165867 0.16841058 0.0603954  0.00499433],0.1684105781300117
14797,2,D,[0.24524661 0.31154557 0.24255597 0.13297398 0.06231896 0.00535889],0.13297398451875164
14797,3,D,[0.24313251 0.30998133 0.24330203 0.13816628 0.06048553 0.00493233],0.13816627568687379
14797,4,D,[0.23008452 0.2973914  0.24154101 0.16516441 0.06126976 0.0045489 ],0.16516440625614243
14797,5,D,[0.26118178 0.31811654 0.22845712 0.12351252 0.06308986 0.00564218],0.12351251538777185
16785,0,D,[0.2  0.05 0.25 0.35 0.1  0.05],0.35
16785,1,D,[0.10185185 0.15740741 0.24382716 0.29012346 0.2037037  0.00308642],0.29012345679012347
16785,2,D,[0.19480519 0.19480519 0.18181818 0.27272727 0.15584416 0.        ],0.2727272727272727
16785,3,D,[0.11192214 0.21411192 0.21167883 0.3163017  0.13868613 0.00729927],0.31630170316301703
16785,4,D,[0.07142857 0.28571429 0.07142857 0.35714286 0.21428571 0.        ],0.35714285714285715
16785,5,D,[0.375 0.25  0.125 0.25  0.    0.   ],0.25
18228,0,D,[0.13314499 0.30794662 0.16503366 0.25531979 0.13551936 0.00303559],0.25531978841067565
18228,1,D,[0.09893951 0.32625414 0.14800896 0.27959914 0.14507298 0.00212527],0.2795991402933206
18228,2,D,[0.14603769 0.31372584 0.17953413 0.21752542 0.1400565  0.00312043],0.217525417810151
18228,3,D,[0.14851083 0.31096979 0.17332579 0.22744429 0.13735606 0.00239325],0.22744428849572082
18228,4,D,[0.13127229 0.31971471 0.16308651 0.24926291 0.13416449 0.00249909],0.24926290961165867
18228,5,D,[0.19121871 0.28929011 0.19439885 0.1989126  0.122897   0.00328272],0.19891259745588838
19807,0,E,[0.06966819 0.14946502 0.50465857 0.1683698  0.10411157 0.00372686],0.1041115652801154
19807,1,E,[0.05830423 0.13542274 0.55681287 0.15060147 0.09646192 0.00239677],0.09646191807530768
19807,2,E,[0.07749578 0.16907153 0.49839054 0.16895513 0.082792   0.00329503],0.0827919970273138
19807,3,E,[0.07154432 0.16086845 0.50708999 0.17106716 0.08663796 0.00279212],0.08663796434563445
19807,4,E,[0.06567826 0.14907478 0.50464718 0.16906748 0.10844355 0.00308876],0.10844354589616151
19807,5,E,[0.08729996 0.17367665 0.43260156 0.19203939 0.11017645 0.00420599],0.11017644645055397
26545,0,C,[0.27975475 0.1536427  0.17621423 0.15120822 0.23482207 0.00435802],0.17621423419091128
26545,1,C,[0.2836085  0.12106231 0.19636115 0.15157255 0.24423221 0.00316329],0.19636114752152423
26545,2,C,[0.30979061 0.16642118 0.1265451  0.15811199 0.23466761 0.00446351],0.1265451029023983
26545,3,C,[0.30259717 0.16695876 0.13171324 0.14923379 0.24561301 0.00388404],0.13171323938184473
